user_type,name,username,password,confirm_password
RegularUser,Raymond,parkrobin,84539?*%&@LCYHw,84539?*%&@LCYHw
RegularUser,Michele,lisa09,*%!@nZtK7465,*%!@nZtK7465
RegularUser,Amy,ethan56,769$?%QRH,769$?%QRH
RegularUser,Kimberly,kimberly98,5418$&?%tCMr,5418$&?%tCMr
AdminUser,Mary,valeriejohnson,**@pew224,**@pew224
RegularUser,Cynthia,richardchase,04154VFRWg$?&&%,04154VFRWg$?&&%
AdminUser,Richard,ryancrosby,hdKLn%!$!%01770,hdKLn%!$!%01770
RegularUser,Michael,heather52,KDhf2120$*@!,KDhf2120$*@!
RegularUser,Amber,shawn34,5201!%!%nJws,5201!%!%nJws
AdminUser,Mary,zsummers,JEAH0508@?!*,JEAH0508@?!*
AdminUser,Douglas,andrew11,*&&XCb421,*&&XCb421
RegularUser,Mary,alicia91,rFMXY?&$$$64675,rFMXY?&$$$64675
RegularUser,Nancy,sellerssheila,%%@674pLP,%%@674pLP
AdminUser,James,camerontammy,mTKRD13796@?!%@,mTKRD13796@?!%@
RegularUser,Janet,vchung,@%!?&IGIhT61749,@%!?&IGIhT61749
AdminUser,Robert,avasquez,&$!!&96959TeqqL,&$!!&96959TeqqL
AdminUser,Sarah,uferguson,zlm@%*845,zlm@%*845
RegularUser,James,jfisher,61894$%*@!othaV,61894$%*@!othaV
AdminUser,Nicole,owenjeffery,%@!!3910adox,%@!!3910adox
RegularUser,Kristen,tyleryang,CkG098?!&,CkG098?!&
AdminUser,Calvin,edwinbradley,%%@?myrS9279,%%@?myrS9279
RegularUser,Jennifer,stephanie46,psw442?%*,psw442?%*
AdminUser,Michael,wrichards,HGE?&*662,HGE?&*662
RegularUser,Emily,chrisruiz,LrH@%!245,LrH@%!245
RegularUser,Christine,bstuart,??$@rMhz9651,??$@rMhz9651
RegularUser,Kristen,valenciadenise,!&$apn393,!&$apn393
AdminUser,Frank,bob08,551%&?eBx,551%&?eBx
RegularUser,Kristy,justin25,&%!?@sJZtB84387,&%!?@sJZtB84387
AdminUser,Tracy,obrienlisa,Gbya*@&$6380,Gbya*@&$6380
AdminUser,Brittany,ohamilton,770Tga?$?,770Tga?$?
RegularUser,Taylor,bradleyfarmer,SZpL*?%!1654,SZpL*?%!1654
AdminUser,Katie,ericajones,%$$@3946oEdQ,%$$@3946oEdQ
AdminUser,Elizabeth,lberg,441PRb*%*,441PRb*%*
AdminUser,David,williamsedward,zhr141*?*,zhr141*?*
AdminUser,Mr.,tatemary,?*@&?cKVRQ40873,?*@&?cKVRQ40873
RegularUser,Sandra,patricia97,7396??!%figz,7396??!%figz
RegularUser,Lauren,robertmathews,23325IBfND$&?@!,23325IBfND$&?@!
RegularUser,Christine,wilkersonjames,@*%%7381LVqE,@*%%7381LVqE
AdminUser,Brian,glenda04,@?*zHS816,@?*zHS816
RegularUser,Jessica,austinbarnes,ChasO?&$!%13334,ChasO?&$!%13334
AdminUser,Margaret,sierraramirez,%??@!25113KIlqD,%??@!25113KIlqD
RegularUser,Samuel,woodardjoshua,$@?788Jns,$@?788Jns
AdminUser,Jacob,megan14,&*@*!24885DxUDY,&*@*!24885DxUDY
AdminUser,Dennis,alisoncummings,415?&&tyK,415?&&tyK
AdminUser,Robert,robert89,%@!&Xspu2586,%@!&Xspu2586
AdminUser,Andrew,vlopez,GGSO!@@%9646,GGSO!@@%9646
AdminUser,Laura,edwardmacias,&??$6984cqaS,&??$6984cqaS
AdminUser,Adam,tammiesmith,334HOI*@$,334HOI*@$
RegularUser,Melissa,tracey92,3507$**@JDbh,3507$**@JDbh
RegularUser,Charles,meyerryan,!@!&pDEJ3472,!@!&pDEJ3472
AdminUser,Michelle,thompsonjon,$?!&fufR0585,$?!&fufR0585
RegularUser,Lisa,elainebraun,oCUTD50695$&&!@,oCUTD50695$&&!@
RegularUser,Michelle,renee45,$??*?42567FqVPP,$??*?42567FqVPP
RegularUser,Jesse,samantha80,82622?!%@!DhyIC,82622?!%@!DhyIC
AdminUser,Paul,lindahernandez,Blhd%&?@2954,Blhd%&?@2954
AdminUser,Terry,richardstrickland,0356qvtr!$?*,0356qvtr!$?*
AdminUser,Trevor,abigail85,60107!&??$JHMIj,60107!&??$JHMIj
RegularUser,Teresa,kimberly54,$%*%!pYxKv49495,$%*%!pYxKv49495
RegularUser,Cassandra,mooretiffany,%$&&1520xrmE,%$&&1520xrmE
RegularUser,Regina,hulleric,925!&?gTc,925!&?gTc
RegularUser,Nicole,paulsmith,FZP@?%876,FZP@?%876
AdminUser,Charles,dhoward,834!!$Uxs,834!!$Uxs
